question,answer,comment,access,products,object_id,original_filename,upload_date,last_updated,tags
What is the product or service do you provide?,Verification Services,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~8,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Change Management,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~20,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Are policies and procedures updated no less than annually AND whenever significant business changes occur?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~26,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you have Service Level Agreements (SLA) with your vendors?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~44,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Visitors are escorted in secure areas?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~49,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Do you employ a change management, build & deploy process?",Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~61,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Rogue device and services detection,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~78,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
User ID/Password,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~86,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Are staff trained on how to report an incident?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~90,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Is Self Esteem Brands data segmented from other customers?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~108,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
